id	texto	clase
12632	ultimo choro se 2018 que delicia	normal
7451	Pero es una realidad para muchas mujeres en Venezuela. Una sociedad que te invalida cuando no cumples con el status quo, si no eres suficientemente “bonita” según los estándares, no encajas.	normal
4211	MALDITA SEAS COMUNA DE ÑUÑOA https://t.co/yN4E7A6ObG	incivilidad
10199	Las tontas de  #PautaLibre con el tremendo 🌶🌶 en el poto porque es muy probable que gane Keiko en Perú. Ya perdió la izquierda asquerosa en Ecuador, en Madrid, ahora estaría perdiendo en Perú!!! Solo los idiotas que no lo conocen quieren vivir en gobiernos de izquierda	incivilidad
11597	@user @user @user @user @user Devuelvete y anda a opinar a tu país, veneco chanta qlo.	odio
1441	Monica Gonzalez no deja hablar al mapuche. Condescendiente con la machi e interruptora de Catrillanca.	normal
1942	@user @user @user @user Ahora que lo tienen todo se quejan, después cuando no tengan nada se acordarán pobres weones	incivilidad
2038	Oye @user por la cresta que eres penca enano qliao el personal de la salud se saca la cresta y vo los meas con el pichi mas hediondo  #RenunciaParis	incivilidad
2414	Las peruanas deciden contra el olvido https://t.co/cY6HdJU149	normal
2638	Convengamos que la pelotudez que dijo el presidente de Argentina, refleja lo que varios argentinos piensan de sí mismos. Por otro lado, el chileno promedio se ve a sí mismo “menos indio” que el resto de sus vecinos latinoamericanos. Ambas posturas son la estupidez con patas	incivilidad
6927	"@user @user Deconstrucción nacional.
Denegación de capacitación a los niños.
Tanto como denegación de sol, aire, amistades, normalidad.

Estamos en las garras de unos chacales de tercera, genocidas.

Y los chilenos salieron como la grasa de carreta para defenderse con fuerza."	incivilidad
12085	@user Tantos países que tiene esta tierra,y esta venerea tener que haber nacido en mi patria COLOMBIA😡😡	incivilidad
5274	"@user @user Blindar; FFAA, incluidas !!!
PD: Comunistas😈 y zurdos/as; llevan un paso adelante, FFAA, no están cumpliendo su juramento patriótico de defender y proteger la constitución y la ley !!!"	incivilidad
10163	@user @user Malditos ladrones, flojos de mierda	incivilidad
10308	@user Otro imbecil con bandera que piensa que una mujer no puede ser inteligente ella aporta en cambio tu ufff	odio
847	Putas de mierda, deberían de morir todas. ¿Qué les ha pasado a tantos? ¿Cual es su problema? Estos seres despreciables se han convertido en una plaga para la sociedad.	odio
12726	@user Pedazo de serie, tienes que verla y el final te va a volar la cabeza, hay ratos en los cuales te metes tanto en la serie que te hace sentir deprimido y triste y también como Eliot (el protagonista) tiene problemas mentales igual sientes que tú los tienes, es una joya	normal
9696	@user Totalmente de acuerdo, los políticos y empresarios delincuentes debieran ir a la cárcel y no a clases de ética o un chirlito y pa' afuera.	incivilidad
12948	@user wtf tia escúchame, NO LES HAGAS NI PUTO CASO, eres una persona genial que have todo lo mejor que puede jugar con eso es suficiente, si quieres usar el móvil lo usas, no hay ningún problema, te quiero muchísimo y no dejes que eso se te meta en la cabeza amor	normal
5455	@user @user @user @user Pura pinta de jalero e gordo ctm	incivilidad
8480	@user Hola, solo quiero pasar a decir que si alguien me quiere chupar el poto. A la orden 🤣🤣	incivilidad
10740	maraca culia insoportable weon	odio
6439	"@user @user Jaja!!
Mi comentario es de los paises donde han gobernado

Terror?
Es lo q han vivido en Europa del Este en el siglo pasado, Polonia, los checos, rumanos, los mismos rusos, ucranianos
Los chinos, taiwaneses, HK
Los cubanos y venezolanos, q huyen año a año de sus países y familias"	normal
7540	"@user Yo me enteré hace poco que TODAS las mujeres tienen historias de acoso. No sólo un piropo en la calle, agarrones asquerosos o exhibicionismo.
Atroz."	normal
7130	Muchas veces me eh sentido femenino pero nunca como una mujer, ta bien	normal
4576	@user Senador(a), millones de chilenos y chilenas dijimos #NoAlTPP11 en la revuelta social y, antes, en el #PlebiscitoTPP11 ¿usted escuchará lo que pide la ciudadania o las transnacionales? Estamos atentos a su voto @user	normal
1989	@user No entiendo nada. ¿Hace 2 semanas avisaste que habria cuarentena o en dos semanas mas, yá en cuarentena, pasara algo que me iré de poto? Por favor, spanish please.	normal
11800	@user Chora	normal
12761	El armado del plantel fue pobre, con un club pobre en lo económico. Velasco rinde más por el medio, pero no hay plantel para que juegue ahí. Una opción es 4-4-2 pero hay sobrepoblacion de extremos, y para 4-2-3-1 falta un 5 que tenga marca y despliegue	normal
8568	@user @user Nada con los comunistas! Ya lo vivimos una vez y no es a para repetirlo.	normal
8104	@user Y pensar que hay imbéciles que siguen a este payaso.	incivilidad
8683	@user Seguro acá paso igual,no entiendo cómo gente que no debería haber salido elegida,lo hizo igual,un asco los comunistas	incivilidad
2523	@user @user @user @user Se mezclarian con los venezolanos que entran diariamente...	normal
11445	No vas a comparar a una maorí culta con la manga de mapuches comunistas ignorantes que ustedes quieren meter al congreso, por favor!! https://t.co/wM7EXnLep2	odio
14894	@user Es una pobre... https://t.co/vZ9iFBB71a	normal
11586	@user @user @user Un colombiano opinando cuando todos los colombianos emigran a otros paises increible,	odio
13069	@user @user Jajaja chileno indigena de mierda!!! Escupi la leche o tragatela antes de hablar pelotudo!! Cuando tengas 15 hablamos!!! Hijo eterno jajajjajjaj!!!!!!!!!!! https://t.co/rWWf6AsjBl	odio
5611	@user Ganó el fasho culiao	incivilidad
634	Trabajadoras sexuales son una verguenza. Son una suciedad de la peor clase, no tienen ninguna moral o principios. No hay nada bien acerca de ellas, ni nada en lo que se pueda admirar. Son personas que se venden como algo barato para ganar dinero sucio. ¡Deberían estar fuera de nuestras vidas! Es el trabajo más horrendo y despreciable. Estas mujeres deberían dejar de ser tan fáciles y cumplir con los estándares básicos requeridos para un ser humano. Son simplemente una vergüenza para la humanidad. No hay ninguna razón por la que alguien debería elegir este trabajo para sí mismo. Son el ejemplo de cómo no debe comportarse una persona. ¡No soporto ver a una trabajadora sexual! Su sola presencia me enferma. No hay lugar para ellas en la sociedad, y espero que los gobiernos la prohiban antes de que nuestra sociedad se desintegre.	odio
4012	@user @user Pero si en la mitologia nordica y en los comic es bisexual 🤷‍♂️ inclusive el pario a sus hijos fenrir y la serpiente, incluso en losncomic a salido como mujer	normal
7960	SÍ al Voto Obligatorio. Único mecanismo d informarse antes d ir a votar. No al Analfabetismo Cívico. Si exigimos derechos, debemos cumplir con nuestro deber. A la Derecha no les interesa nuestra educación. Mientras + ignorantes mejor para ellos.	normal
7527	Fin a las AFP, término al CAE y aborto legal: Jadue presentó su programa de gobierno de cara a las presidenciales - https://t.co/7UM8bE6SrO	normal
9444	LA CSM QUE RAJA TIENEN ESTOS CULIAOS	incivilidad
2450	"Corte Suprema revoca expulsión de ciudadano venezolano que habría ingresado de forma irregular

https://t.co/e71zkGvYxP"	normal
12564	No sé si lo que me pasa es por mala suerte o una señal 😔	normal
4114	"@user ""si los votos del cinco por ciento que no vota derecha en vitacura le hacen ganar a Boric la elección"" es un escenario de payasos."	incivilidad
14462	@user #JudithSenadora buena mujer	normal
8879	Reacciona por la ctm wn reacciona en no nos puedes hacer esto	incivilidad
13866	@user @user vos no t reis,t desinflas hija de puta JAJAJJA	incivilidad
13543	@user Es Gay o fresco. No hay otra alternativa.	odio
4263	@user @user Aweonao, deja de hablar weas y vacúnate cochino	incivilidad
13932	@user EL PRESIDENTE BIDEN 🇺🇸 YA SABBE QUIENES SON SUS AMIGOS NO OCUPAS IR PARA ESCUCHARTE DECIR PURAS PENDEJADAS MEJOR NO!!!! Solo siga pidiendo limosnas en vacunas . O Biden ordene no salga un puto dolar en Remesas de los paisanos a Mexico . Eso buscas demente de mierda.?	incivilidad
3155	"@user @user Jajajajajaja...... 
Te le apretó el pequeñín......!!!!!.
MIEDITO.????????
MALDITO INFELIZ CTM."	incivilidad
9841	"Suprema instruye a cortes revisar recursos de amparo fuera de horario hábil: INDH valora decisión ante expulsión de migrantes

 https://t.co/JYbf0uoJad"	normal
12800	Murialdo recibe dinero del narcotráfico, Murialdo es candidato a diputado de CA, Murialdo aporta $ a la campaña de CA, luego CA forma una colación, la colación se autodenomina multicolor, ergo los multicolores reciben dinero narco  Se acabó el recreo !!!  https://t.co/BofvokIB9z	normal
542	¡Los negros tienen una historia de mal comportamiento! Han estado causando problemas desde hace mucho tiempo. Carecen de respeto por la ley y el orden. ¡No merecen nuestro tiempo ni esfuerzo!	odio
14579	Hoy Jorge Lanata decía : una vez más una mujer se enfrenta al poder en busca de JUSTICIA https://t.co/Cw8Cb0lBrJ	normal
1395	Necesito que bad bunny hable de hemorroides en una canción para que deje de ser tabú como mamar qlo 🙄	incivilidad
1158	@user @user Terrible como el adoctrinado religioso de algunos grupos evangélicos apunta justamente a personas muy ignorantes con poca educación y les mete en la cabeza que “todo está en manos de Dios”. Vacunación debería ser obligatoria en países con bajo % de educación cómo Chile	normal
1908	@user Estoy pal pico de gay	incivilidad
10290	@user Yo no espero nada de Orrego, ni las gracias ni un reconocimiento a la gente que no es de izquierda y que voto por el, lo importante es que es un político profesional y su periodo va a durar solo 4 años, a los comunistas no les gusta dejar sus cargos.	normal
1250	Pero los indios lloran x peluca. ... https://t.co/0BwlbI1CBj	normal
13266	@user @user Tal como en Perú o Ecuador... Hace falta presencia Militar en las fronteras... Ya los extranjeros (venezolanos especialmente) ya es invasión, muchos son delincuentes, mendigos y que vienen a ser carga al pais	odio
11307	La constitución indigena y de los maracos! Linda la wea	odio
9451	Alegan que se cayó el servicio, tontos culiaos hasta el último día para postular a las weas, gente reculia #RegistroSocialdeHogares	incivilidad
11314	@user Si cuando quemaste vivos ha gente inocente no dijiste nada mapuche de mierda	odio
11305	@user Que pasa con esos delincuentes venezolanos y colombianos? Y los carabineros qué onda? No hacen nada, basta de abusos de esta institución nefasta.	odio
7284	El tio Jeff apañó a Kevin y nos dio vida Ctm 😭😭😭😭😭	incivilidad
13701	Y si convencemos a Geraldine que actúe cómo Salomé y que le baile al Peje como a Herode, para que renuncie. ..digo es una idea...😑 https://t.co/6Vr2EVWFlE	normal
4451	@user Las medias patitas Pidulle., o se olvida cuando hacías trabajos personales a un Gerente y después pasaban las boletas a la Empresa, mejor cállate delincuente, solo bajabas a Huechuraba a cobrar tu cheque cito	incivilidad
1699	"Hoy escribo para las mujeres que lloran en silencio...

Para aquellas que se muerden los labios y los días, para llenarse de coraje y continuar...

Por las que sonrien sin decir que tienen miedo, que llevan el corazón destrozado, que simplemente el mundo se les ha venido abajo.. https://t.co/eoUPplKyXb"	normal
