x,y,vocab,count
-7.1982374,22.830639,noticia,645
-28.562798,21.15009,desarrollo,1766
-16.268267,12.801952,recopilando,13
-7.1266704,23.040594,antecedentes,1796
6.329066,-3.559325,quédate,10
-16.606627,2.4193091,atento,64
-10.076406,47.620506,a,221549
-22.869495,16.827637,actualizaciones,18
-17.886461,-23.792791,estructura,430
-44.817608,22.191273,restante,68
-6.3298125,-37.82472,casa,3115
-43.98565,-0.87139815,cayó,647
-2.2181299,-50.475334,valparaíso,1340
-37.46708,-13.493023,colapsó,49
-53.15089,-15.340759,mañana_miércoles,158
-14.825677,5.012842,produjo,957
-52.566376,-12.420073,1015,13
-5.5299525,-42.485233,esquina,205
-5.090761,-42.86957,aldunate,19
0.5058666,-20.378208,murieron,700
-14.380801,-3.1345978,personas,10120
-8.056537,-35.07054,información_preliminar,131
-15.185307,-11.155119,rescatistas,142
-31.519749,1.679047,labores,539
-19.918768,43.117527,suspendido,338
-23.92473,6.3464484,peligro,846
-1.7698387,30.0367,seguir_trabajando,64
8.905623,2.8606417,habría,3306
-43.35407,-14.576772,lesionados,343
6.9956284,-22.931787,detectives,108
7.1689754,-23.160181,policía_investigaciones,594
-18.39914,46.749187,realizan,430
1.7494048,10.978057,peritajes,212
-8.858389,25.269667,detener,528
8.306745,-15.875855,mujer,4816
45.74983,-20.149252,45_años,142
11.08377,10.376376,presunta_responsabilidad,44
16.976578,1.7625663,ataque,2100
-8.946106,-18.731361,arma,616
-4.2515173,-19.807598,cortante,15
10.277214,-15.027912,padre,1752
0.48422527,-20.655733,causó_muerte,64
-4.3651175,-46.098774,comuna,2664
-3.698992,-45.651367,pudahuel,119
-14.603084,4.797063,ocurrió,1701
-5.3089967,-42.120834,calle,1596
30.390495,29.388866,presidente,9348
37.44503,-13.975475,truman,19
-5.571085,-42.468388,intersección,147
55.081585,-5.6531835,teniente,263
46.76923,2.3405385,cruz,332
-16.792044,30.862997,acorde,155
19.82017,43.897957,declaración,1458
10.212124,-15.077541,hijo,1758
7.5890718,-16.300383,víctima,2483
-15.135535,21.795826,y,194988
10.213796,-14.9816265,hermano,606
9.208344,-14.527879,victimaria,11
19.956617,34.652016,sostuvieron,148
2.93538,-20.712175,enfrentamiento,306
7.0682945,14.718708,verbal,91
43.498783,13.634284,hernan,11
43.58948,1.6210109,silva,500
49.56983,0.8410981,pérez,601
-34.251266,-10.807425,vender,325
-34.59027,-11.350866,negocio,497
-16.577358,6.9758286,causado,306
-1.589599,15.9810295,molestia,286
10.153648,-15.242302,hija,1271
48.369667,-10.924125,tania,37
2.6918247,38.68144,discusión,843
-7.1920137,-7.9163847,acudido,54
-14.60972,-24.487602,cocina,242
-6.4880433,-37.70995,vivienda,1144
-11.0084095,48.13357,volver,899
-2.1600115,-18.712986,cuchillo,269
-0.3489876,-17.870996,apuñalar,32
1.7554448,11.027726,primeras_diligencias,33
-18.37532,47.001396,realizaron,687
5.211546,-22.248692,carabineros,3715
5.345387,-24.222887,comisaría,454
-10.101846,39.124027,tomaron,360
-1.2172968,54.513206,único,1338
6.2480674,-16.649464,testigo,372
10.750356,9.586759,crimen,882
-5.941431,-38.258263,interior_vivienda,59
55.078777,-5.5308905,capitán,491
51.006588,-9.961381,carlos,1345
-7.8459897,-48.94704,lagos,692
-1.2260517,54.495155,principal,1881
3.1650672,10.183243,hipótesis,245
-3.754651,46.314228,apunta,505
-44.33773,-7.964875,dinero,1915
-38.08386,-6.7781534,venta,1043
-6.569401,-37.640022,inmueble,345
7.5080805,-23.13551,detectives_brigada,38
7.376879,-23.171463,homicidios_pdi,19
0.8260223,-22.647568,murió,1271
-1.295035,-19.773176,apuñalado,116
4.3394275,56.33268,ocasión,562
-40.537605,-26.024574,altura,616
-3.4868262,-20.500387,tórax,58
55.34231,-5.3509464,subcomisario,105
50.951065,-11.089496,cristián,199
-10.3266535,-35.334953,tur,10
12.839574,10.521141,presunta,280
33.966743,-3.3111439,responsable,1353
7.850915,-17.925797,identificada,208
-9.544336,43.04518,razón,995
1.7067417,11.110361,diligencias,529
5.9834046,-19.791576,policía,4076
-21.551622,21.631226,enfocadas,34
3.1786895,-22.135149,paradero,393
51.638474,-0.8792222,herrera,141
8.164357,30.24586,expresado,167
11.577537,-13.492977,familiares,1257
-15.8808565,-3.256594,situación_calle,183
6.9820147,-18.936625,buscada,31
10.795514,10.500269,delito_parricidio,30
15.227092,14.840187,artículo_describe,522
15.223585,14.879688,proceso_judicial,620
38.465675,-33.22604,curso_posibilidad,521
38.480457,-33.252117,cargos_desestimados,521
38.519047,-33.35518,finalizar_investigación,522
38.531193,-33.459652,considerar_o,521
38.535816,-33.530113,imputados_culpables,521
38.537556,-33.602257,justicia_dicte,522
38.497776,-33.739563,sentencia_artículo,521
38.496365,-33.782585,04_código,521
-18.047092,35.78342,procesal_penal,537
2.3515766,-16.762012,detenidos,1619
-43.897846,-13.808854,saldo,336
-11.968481,10.626967,serie,1800
-3.7362077,9.480252,incidentes,608
-13.503931,6.6870446,ocurridos,196
-53.13082,-15.401684,mañana,1836
21.863935,-9.146545,liceo,364
-39.364426,-9.4584465,aplicación,681
-3.1194513,-50.44225,santiago,2302
-14.519581,14.440264,incluyeron,63
-12.774543,-25.43643,fogata,26
-10.840873,-25.146608,interior,2322
-22.528429,-14.308752,baños,107
-54.760563,14.228188,800,298
-6.200986,-16.160536,grupo_encapuchados,37
-3.6993232,9.708956,disturbios,282
-5.439343,-42.903507,cumming,13
-38.12134,-29.664366,escala,299
-8.3538065,-14.222202,barricadas,182
-9.599685,-8.708256,evacuación,312
0.93027073,13.109633,espontánea,30
21.834366,-8.686636,instituto_nacional,729
-21.517378,10.252915,efecto,853
-7.271581,-15.757996,bombas_lacrimógenas,38
-47.652634,-27.552979,llegada,1073
4.927063,-21.845446,fuerzas_especiales,187
-5.96345,-10.580376,manifestantes,1317
-7.2402973,-15.142958,lanzaron_bombas,31
-7.250214,-16.157104,molotov,78
5.574228,-22.58487,personal,2059
-1.7050977,-7.4461904,huir,325
21.81725,-9.015146,establecimiento,804
-14.415286,6.1703925,reportó,378
